target_end_date,output_type_id,value,reference_date,horizon,target,output_type,location
2026-02-07,0.75,249.22596056920105,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.8,269.8297539553072,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.85,296.39564680372285,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.9,333.26654763062356,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.95,396.2136635081927,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.975,460.59642166069136,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.99,548.4825612676881,2026-02-07,0,wk inc flu hosp,quantile,04
2026-02-07,0.01,36.83969712768689,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.025,44.62577284945127,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.05,52.65051438269649,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.1,63.66278864641336,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.15,72.28900424949484,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.2,80.07610106565815,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.25,87.36868494277044,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.3,94.49776454655212,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.35,101.64791592349377,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.4,108.90434534047425,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.45,116.44839096158867,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.5,124.37104298470722,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.55,132.8085693449252,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.6,141.95544851600792,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.65,152.04916051900932,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.7,163.53329532709913,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.75,176.78350294356295,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.8,192.85779423172127,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.85,213.75641368790804,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.9,243.05721629042938,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.95,293.78637871110186,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.975,346.4783565992282,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.99,419.53786212335746,2026-02-07,0,wk inc flu hosp,quantile,05
2026-02-07,0.01,770.9423111184034,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.025,846.3889998018279,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.05,917.3629373244303,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.1,1006.2508392259618,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.15,1070.4819008544748,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.2,1125.161386255013,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.25,1173.943663480721,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.3,1219.6509130159416,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.35,1263.7483849292494,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.4,1306.9023993431692,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.45,1350.2297632748064,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.5,1394.2077967382036,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.55,1439.4907766206093,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.6,1486.9431645206244,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.65,1537.5208844613687,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.7,1593.0133512968691,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.75,1654.6098846463506,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.8,1726.2356865803706,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.85,1814.9219081453875,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.9,1932.0774876276457,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.95,2118.906244303753,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.975,2296.1431707741194,2026-02-07,0,wk inc flu hosp,quantile,06
